Person_ID,Year,Age,Employment,HEALTH GOOD?,INTERVIEW NUMBER,Labor_Income,OFUM TOTAL LABOR INCOME- IMPUTED,RELATION TO HEAD,SEQUENCE NUMBER,Insurance,Education,Gender,WHETHER SAMPLE OR NONSAMPLE,# LIVE BIRTHS TO THIS INDIVIDUAL,Last_Marital,Age_Group,CPI
4003,2011,59,5,0,218,0.0,0,10,1,0,2,1,1,2,1,55-70,218.1
4004,2011,58,1,0,8397,0.0,0,10,1,1,3,0,1,2,4,55-70,218.1
4004,2013,60,1,0,7517,28497.386759581885,0,10,1,1,3,0,1,2,4,55-70,229.6
4006,2011,53,4,0,2541,0.0,0,10,1,1,2,0,1,2,4,35-54,218.1
4006,2013,55,6,0,8684,0.0,0,10,1,1,2,0,1,2,4,55-70,229.6
4006,2015,57,4,0,8474,0.0,0,10,1,1,2,0,1,2,4,55-70,236.7
4006,2017,59,5,0,5620,0.0,0,10,1,1,2,0,1,2,4,55-70,240.0
4006,2019,61,5,0,4574,0.0,0,10,1,1,2,0,1,2,4,55-70,251.1
4007,2017,56,1,0,8559,50890.0,0,10,1,1,2,0,1,1,4,55-70,240.0
4007,2019,58,1,0,8597,52114.69534050179,0,10,1,1,2,0,1,1,4,55-70,251.1
4007,2021,60,1,0,4890,4213.678516228748,0,10,1,1,2,0,1,1,4,55-70,258.8
4008,2011,46,1,0,2845,42000.0,0,10,1,1,2,1,1,3,4,35-54,218.1
4031,2015,41,6,0,1428,0.0,0,10,1,1,2,0,2,3,5,35-54,236.7
4031,2017,43,5,0,6510,908.75,0,10,1,1,2,0,2,3,5,35-54,240.0
4031,2019,45,5,0,6314,0.0,0,10,1,1,2,0,2,3,5,35-54,251.1
4031,2021,47,5,0,3944,0.0,0,10,1,0,2,0,2,3,5,35-54,258.8
4034,2013,37,1,0,8434,0.0,0,10,1,0,2,1,2,0,2,35-54,229.6
4034,2015,39,1,0,4738,29485.424588086185,0,10,1,0,2,1,2,0,2,35-54,236.7
4034,2017,41,1,0,9172,49072.5,0,10,1,0,2,1,2,0,2,35-54,240.0
4034,2019,43,1,0,7898,8685.782556750299,0,10,1,0,2,1,2,0,2,35-54,251.1
4034,2021,45,1,0,2163,10112.828438948995,0,10,1,0,2,1,2,0,2,35-54,258.8
4038,2011,24,3,0,7655,12800.0,0,10,1,1,2,0,2,1,1,18-34,218.1
4038,2013,26,3,0,8569,1567.3562717770035,0,10,1,0,2,0,2,1,1,18-34,229.6
4039,2017,26,1,0,7682,19083.75,0,10,1,1,2,0,2,3,4,18-34,240.0
4039,2019,28,6,0,7781,22583.034647550776,0,10,1,1,2,0,2,3,4,18-34,251.1
4039,2021,30,3,0,6326,47193.19938176197,0,10,1,1,2,0,2,3,4,18-34,258.8
4040,2017,26,1,0,9421,23627.5,0,10,1,0,2,1,2,0,1,18-34,240.0
4040,2019,28,1,0,4983,27990.802867383514,0,10,1,0,2,1,2,0,1,18-34,251.1
4040,2021,30,1,0,2919,21068.392581143737,0,10,1,0,2,1,2,0,1,18-34,258.8
4041,2011,18,5,0,2147,0.0,0,10,1,1,2,0,2,0,4,18-34,218.1
4041,2017,24,3,0,6393,17320.774999999998,0,10,1,1,2,0,2,0,4,18-34,240.0
4042,2021,25,1,0,7535,22753.86398763524,0,10,1,1,2,1,2,0,1,18-34,258.8
4180,2013,28,1,0,2176,20898.08362369338,0,10,1,1,2,0,3,5,5,18-34,229.6
4180,2021,36,1,0,3753,17360.35548686244,0,10,1,1,2,0,3,5,5,35-54,258.8
